structural,attr_type,n,accuracy,ci_lo,ci_hi
query,activity,273,0.26373626373626374,0.21146338983907786,0.3160091376334496
query,age,77,0.025974025974025976,-0.009553552968461089,0.06150160491651304
query,cleanliness,80,0.1375,0.062035625126818955,0.21296437487318107
query,color,7790,0.5281129653401797,0.5170270953807025,0.539198835299657
query,common,0,,,
query,height,156,0.3974358974358974,0.3206416046270285,0.4742301902447663
query,length,203,0.5369458128078818,0.4683513293171416,0.605540296298622
query,material,1387,0.6950252343186734,0.6707954203134414,0.7192550483239053
query,other,188,0.3404255319148936,0.27268944141127216,0.40816162241851506
query,pattern,81,0.345679012345679,0.2421062656868419,0.4492517590045161
query,pose,272,0.3014705882352941,0.24693419129725735,0.35600698517333085
query,position,6502,0.4844663180559828,0.4723186502936986,0.49661398581826693
query,shape,113,0.39823008849557523,0.3079693007723211,0.48849087621882936
query,size,860,0.4686046511627907,0.43525287114534755,0.5019564311802338
query,sport,110,0.5909090909090909,0.49902718846364336,0.6827909933545385
query,weather,0,,,
verify,activity,83,0.7469879518072289,0.653459353674171,0.8405165499402868
verify,age,16,0.8125,0.621246936299049,1.0037530637009509
verify,cleanliness,30,0.6333333333333333,0.46088963344948825,0.8057770332171783
verify,color,3262,0.7608828939301042,0.7462450090868238,0.7755207787733847
verify,common,0,,,
verify,height,51,0.6666666666666666,0.5372873877177144,0.7960459456156188
verify,length,127,0.7401574803149606,0.6638843822997348,0.8164305783301865
verify,material,311,0.7491961414790996,0.7010190308965754,0.7973732520616239
verify,other,527,0.6944971537001897,0.6551698991466415,0.733824408253738
verify,pattern,29,0.6551724137931034,0.4821764880980003,0.8281683394882066
verify,pose,209,0.7511961722488039,0.6925839564116838,0.8098083880859239
verify,position,2878,0.5423905489923558,0.5241887536903911,0.5605923442943206
verify,shape,55,0.7272727272727273,0.6095696920192182,0.8449757625262364
verify,size,323,0.6191950464396285,0.5662384772508978,0.6721516156283592
verify,sport,37,0.8648648648648649,0.7547075156731167,0.9750222140566132
verify,weather,115,0.8521739130434782,0.7873034781653393,0.9170443479216172
choose,activity,58,0.6724137931034483,0.5516259614534265,0.7932016247534701
choose,age,7,1.0,1.0,1.0
choose,cleanliness,23,0.6086956521739131,0.4092385110469433,0.8081527933008829
choose,color,2309,0.7050671286271113,0.6864667866847365,0.7236674705694861
choose,common,0,,,
choose,height,46,0.7608695652173914,0.6376017528618698,0.8841373775729129
choose,length,89,0.7640449438202247,0.675831421188911,0.8522584664515384
choose,material,420,0.6023809523809524,0.5555750489862673,0.6491868557756374
choose,other,732,0.6352459016393442,0.6003743271330252,0.6701174761456633
choose,pattern,15,0.4666666666666667,0.2141946806886107,0.7191386526447227
choose,pose,64,0.640625,0.5230697696708718,0.7581802303291282
choose,position,4357,0.6082166628414046,0.5937217893595593,0.6227115363232499
choose,shape,27,0.7037037037037037,0.5314644166750504,0.875942990732357
choose,size,247,0.6477732793522267,0.5882029146286499,0.7073436440758035
choose,sport,28,0.5714285714285714,0.3881255436303378,0.754731599226805
choose,weather,66,0.7424242424242424,0.6369217623694331,0.8479267224790518
compare,activity,0,,,
compare,age,0,,,
compare,cleanliness,0,,,
compare,color,2496,0.5528846153846154,0.5333789468280048,0.572390283941226
compare,common,690,0.1782608695652174,0.14970295300073128,0.2068187861297035
compare,height,0,,,
compare,length,0,,,
compare,material,268,0.45149253731343286,0.39191188786639203,0.5110731867604738
compare,other,695,0.5669064748201439,0.530067272047034,0.6037456775932538
compare,pattern,0,,,
compare,pose,0,,,
compare,position,0,,,
compare,shape,8,0.25,-0.050062493490939275,0.5500624934909393
compare,size,0,,,
compare,sport,0,,,
compare,weather,0,,,
