semantic,freq_bin,n,accuracy,ci_lo,ci_hi
rel,1-10,3360,0.5848214285714286,0.5681598733656562,0.601482983777201
rel,11-100,16236,0.46390736634639074,0.45623636420046193,0.47157836849231954
rel,101-500,15055,0.3846562603786118,0.376884650578748,0.3924278701784756
rel,501+,5627,0.22640838812866537,0.21547336398647568,0.23734341227085506
attr,1-10,8851,0.5251384024404022,0.5147348822362947,0.5355419226445097
attr,11-100,7165,0.5381716678297278,0.5266278709771096,0.549715464682346
attr,101-500,1608,0.3482587064676617,0.32497234366181915,0.3715450692735043
attr,501+,468,0.22863247863247863,0.1905843955265341,0.26668056173842314
cat,1-10,540,0.5962962962962963,0.55491333028941,0.6376792623031826
cat,11-100,4255,0.627262044653349,0.6127331490522104,0.6417909402544876
cat,101-500,1899,0.37282780410742494,0.35107871193356655,0.39457689628128334
cat,501+,491,0.2830957230142566,0.24324716915802697,0.32294427687048627
global,1-10,0,,,
global,11-100,813,0.30996309963099633,0.278172263241078,0.34175393602091464
global,101-500,1485,0.38047138047138046,0.35577777367529206,0.40516498726746886
global,501+,314,0.30254777070063693,0.25173820774274747,0.3533573336585264
