semantic,ent_bin,n,accuracy,ci_lo,ci_hi
rel,low,8868,0.4422643211547136,0.4319272288247058,0.4526014134847214
rel,medium,16644,0.45938476327805816,0.45181365160666626,0.46695587494945007
rel,high,13390,0.3450336071695295,0.3369815659340031,0.35308564840505596
attr,low,11548,0.5204364392102528,0.5113245250400089,0.5295483533804968
attr,medium,0,,,
attr,high,0,,,
cat,low,1083,0.5466297322253001,0.5169803952624948,0.5762790691881053
cat,medium,3887,0.6084383843581168,0.5930937282733332,0.6237830404429004
cat,high,2207,0.3964657906660625,0.3760574022832511,0.41687417904887397
global,low,869,0.30264672036823936,0.27210168776606863,0.3331917529704101
global,medium,0,,,
global,high,1707,0.380199179847686,0.3571703976704089,0.403227962024963
