id,src_len,source,reference,hypothesis,bleu
1,13,"Als ich in meinen 20ern war , hatte ich meine erste Psychotherapie-Patientin .","When I was in my 20s , I saw my very first psychotherapy client .",i was in my first time .,8.86
2,10,Ich war Doktorandin und studierte Klinische Psychologie in Berkeley .,I was a Ph.D. student in clinical psychology at Berkeley .,i was in and i .,2.82
3,8,Sie war eine 26-jährige Frau namens Alex .,She was a 26-year - old woman named Alex .,she was a woman .,6.27
4,44,"Als Alex in die erste Sitzung kam , trug sie Jeans und ein ausgebeultes Top . Sie fiel auf das Sofa in meinem Büro , schleuderte ihre Sandalen von sich und erzählte mir , sie wäre da , um über Männerprobleme zu reden .","Now Alex walked into her first session wearing jeans and a big slouchy top , and she dropped onto the couch in my office and kicked off her flats and told me she was there to talk about guy problems .","so she was to , and she was , and she was , and she was , and she was , and she was in the .",4.81
5,10,"Und als ich das hörte , war ich erleichtert .","Now when I heard this , I was so relieved .",i was i .,3.3
6,10,Meine Kommilitonin bekam nämlich einen Brandstifter als ersten Patienten .,My classmate got an arsonist for her first client .,a 's a first .,4.67
7,15,"Und ich bekam eine Frau in den 20ern , die über Jungs reden wollte .",And I got a twentysomething who wanted to talk about boys .,i got to talk about the woman .,14.17
8,9,"Das kriege ich hin , dachte ich mir .",This I thought I could handle .,i i i .,7.55
9,7,Aber ich habe es nicht hingekriegt .,But I did n't handle it .,i did n't .,16.7
10,34,"Mit den lustigen Geschichten , die Alex mit in die Sitzung brachte , war es leicht für mich , einfach mit dem Kopf zu nicken , während wir die Probleme vor uns herschoben .","With the funny stories that Alex would bring to session , it was easy for me just to nod my head while we kicked the can down the road .","so , the the , the the , , the the , , the the , , the the , ,",1.67
11,21,""" 30 ist das neue 20 "" , sagte Alex und soweit ich das einschätzen konnte , hatte sie recht .",""" Thirty 's the new 20 , "" Alex would say , and as far as I could tell , she was right .","i was , , "" i , "" i said , """,3.28
12,18,"Arbeit kam später , Heiraten kam später , Kinder kamen später , selbst der Tod kam später .","Work happened later , marriage happened later , kids happened later , even death happened later .","later , later later later later later later later later later later later .",7.17
13,13,Leute in den 20ern wie Alex und ich hatten nichts als Zeit .,Twentysomethings like Alex and I had nothing but time .,i was in the .,3.93
14,15,"Aber bald drängte mich mein Betreuer , Alex ' Liebesleben in Frage zu stellen .","But before long , my supervisor pushed me to push Alex about her love life .","i asked to to , i was .",2.67
15,4,Ich hielt dagegen .,I pushed back .,i .,18.39
16,30,"Ich sagte : "" Ja klar , sie trifft sich mit Männern unter ihrem Niveau , sie schläft mit einem Schwachkopf , aber sie wird ihn nicht heiraten . ""","I said , "" Sure , she 's dating down , she 's sleeping with a knucklehead , but it 's not like she 's going to marry the guy . ""","she 's , , "" she , , "" she 's , , "" she .",3.71
17,17,"Und da sagte mein Betreuer : "" Noch nicht , aber vielleicht heiratet sie den nächsten .","And then my supervisor said , "" Not yet , but she might marry the next one .","but , you know , but you .",3.76
18,20,"Außerdem ist die beste Zeit an Alex ' Ehe zu arbeiten , die , bevor sie verheiratet ist . ""","Besides , the best time to work on Alex 's marriage is before she has one . ""","the , the is is that it 's is , """,4.99
19,10,"Das ist es , was Psychologen einen Aha-Moment nennen .","That 's what psychologists call an "" Aha ! "" moment .",what 's what is .,5.83
20,19,"Das war der Moment , in dem mir bewusst wurde , dass 30 nicht die neuen 20 sind .","That was the moment I realized , 30 is not the new 20 .",that was the moment that was that the moment .,11.9
21,22,"Ja , die Leute lassen sich später häuslich nieder als früher , aber das machte Alex ' 20er nicht zum Entwicklungsausfall .","Yes , people settle down later than they used to , but that did n't make Alex 's 20s a developmental downtime .","so , the , the the , ,",1.01
22,16,Das machte Alex ' 20er zur optimalen Entwicklungszeit und wir saßen da und verschwendeten sie .,"That made Alex 's 20s a developmental sweet spot , and we were sitting there blowing it .",we were and and and and .,3.24
23,41,"Da wurde mir klar , dass diese Art von harmloser Vernachlässigung ein ernsthaftes Problem mit realen Konsequenzen war . Nich nur für Alex und ihr Liebesleben , sondern für die Karrieren , Familien und Aussichten aller Leute in den 20ern .","That was when I realized that this sort of benign neglect was a real problem , and it had real consequences , not just for Alex and her love life but for the careers and the families and the futures of twentysomethings everywhere .","and the , of the , the , , the , , the , and the was the , and the .",2.56
24,16,Zu diesem Zeitpunkt gibt es in den Vereinigten Staaten 50 Millionen Leute in den 20ern .,There are 50 million twentysomethings in the United States right now .,"in the , in the , in the united states .",7.57
25,30,"Wir reden über etwa 15 % der Bevölkerung , oder 100 % , wenn man bedenkt , dass keiner das Erwachsenenalter erreicht , ohne durch die 20er zu gehen .","We 're talking about 15 percent of the population , or 100 percent if you consider that no one 's getting through adulthood without going through their 20s first .","so , if you 're going to , you , the percent of the .",5.24
26,10,"Meldet euch , wenn ihr in euren 20ern seid .",Raise your hand if you 're in your 20s .,you you you 're .,8.7
27,8,Ich möchte ein paar von euch sehen .,I really want to see some twentysomethings here .,i want you to see .,11.71
28,9,"Oh , yeah ! Ihr seid alle unglaublich .","Oh , yay ! Y'all 's awesome .",you 're .,5.2
29,37,"Wenn ihr mit jemanden in den 20ern arbeitet , einen liebt , wegen einem in den 20ern Schlaf verliert , ich möchte euch sehen ... O.k . Großartig . Leute in den 20ern sind wirklich wichtig .","If you work with twentysomethings , you love a twentysomething , you 're losing sleep over twentysomethings , I want to see — Okay . Awesome , twentysomethings really matter .","in fact , i 'll , you , in the , , you know , in the , .",3.5
30,66,"Mein Spezialgebiet sind Leute in den 20ern , denn ich glaube , dass jeder einzelne dieser 50 Millionen wissen sollte , was Psychologen Soziologen , Neurologen und Fruchtbarkeitsspezialisten längst wissen : die Einforderung der 20er ist eines der einfachsten und doch umwälzendsten Dinge , die man machen kann für die Arbeit , für die Liebe , für das Glück , vielleicht sogar für die Welt .","So I specialize in twentysomethings because I believe that every single one of those 50 million twentysomethings deserves to know what psychologists , sociologists , neurologists and fertility specialists already know : that claiming your 20s is one of the simplest , yet most transformative , things you can do for work , for love , for your happiness , maybe even for the world .","so , the , of the , , the the , of the , , the the , , the the , , the the , , the the , , the the , , the the .",1.45
31,10,Dies ist nicht meine Meinung . Das sind Fakten .,This is not my opinion . These are the facts .,it 's not .,3.3
