id,src_len,source,reference,hypothesis,bleu
1,13,"Als ich in meinen 20ern war , hatte ich meine erste Psychotherapie-Patientin .","When I was in my 20s , I saw my very first psychotherapy client .","when i was in my , i got my first .",11.99
2,10,Ich war Doktorandin und studierte Klinische Psychologie in Berkeley .,I was a Ph.D. student in clinical psychology at Berkeley .,i was confused and studied clinical psychology .,6.2
3,8,Sie war eine 26-jährige Frau namens Alex .,She was a 26-year - old woman named Alex .,she was a female woman .,7.1
4,44,"Als Alex in die erste Sitzung kam , trug sie Jeans und ein ausgebeultes Top . Sie fiel auf das Sofa in meinem Büro , schleuderte ihre Sandalen von sich und erzählte mir , sie wäre da , um über Männerprobleme zu reden .","Now Alex walked into her first session wearing jeans and a big slouchy top , and she dropped onto the couch in my office and kicked off her flats and told me she was there to talk about guy problems .","when she came in the first , she wore her and and a a , and she fell in my office in my office , her her and and told me she would be there to talk about about .",18.6
5,10,"Und als ich das hörte , war ich erleichtert .","Now when I heard this , I was so relieved .","and when i heard , i was . .",5.71
6,10,Meine Kommilitonin bekam nämlich einen Brandstifter als ersten Patienten .,My classmate got an arsonist for her first client .,my first business was a a first patient .,5.07
7,15,"Und ich bekam eine Frau in den 20ern , die über Jungs reden wollte .",And I got a twentysomething who wanted to talk about boys .,and i got a woman in the woman who wanted to talk about .,31.61
8,9,"Das kriege ich hin , dachte ich mir .",This I thought I could handle .,i i i .,7.55
9,7,Aber ich habe es nicht hingekriegt .,But I did n't handle it .,but i did .,8.97
10,34,"Mit den lustigen Geschichten , die Alex mit in die Sitzung brachte , war es leicht für mich , einfach mit dem Kopf zu nicken , während wir die Probleme vor uns herschoben .","With the funny stories that Alex would bring to session , it was easy for me just to nod my head while we kicked the can down the road .","with the stories , who alex with them , it was easy for me to simply with the head , while we the problems problems . us .",20.16
11,21,""" 30 ist das neue 20 "" , sagte Alex und soweit ich das einschätzen konnte , hatte sie recht .",""" Thirty 's the new 20 , "" Alex would say , and as far as I could tell , she was right .",""" 30 is the new 20 "" said , "" i i felt that she was right .",15.94
12,18,"Arbeit kam später , Heiraten kam später , Kinder kamen später , selbst der Tod kam später .","Work happened later , marriage happened later , kids happened later , even death happened later .","work later , later later later later later later came later death later later .",7.48
