rel_type,depth_bin,n,accuracy,ci_lo,ci_hi
spatial,≤2,0,,,
spatial,3,19029,0.4219874927741868,0.41497025009932276,0.4290047354490508
spatial,4,6734,0.39738639738639736,0.3856982553878875,0.40907453938490723
spatial,≥5,209,0.36363636363636365,0.298418095975895,0.42885463129683227
action,≤2,0,,,
action,3,9913,0.41894481993342075,0.40923210551652683,0.4286575343503147
action,4,3899,0.37291613234162607,0.35773696833001833,0.3880952963532338
action,≥5,97,0.4639175257731959,0.36467303706417326,0.5631620144822186
comparative,≤2,0,,,
comparative,3,240,0.3541666666666667,0.29365842667836856,0.4146749066549648
comparative,4,154,0.2727272727272727,0.20238625515702832,0.34306829029751706
comparative,≥5,0,,,
other,≤2,0,,,
other,3,2,0.5,-0.19296464556281656,1.1929646455628165
other,4,1,0.0,0.0,0.0
other,≥5,0,,,
