id,src_len,source,reference,hypothesis,bleu
1,13,"Als ich in meinen 20ern war , hatte ich meine erste Psychotherapie-Patientin .","When I was in my 20s , I saw my very first psychotherapy client .","when i was in my , i got my first .",11.99
2,10,Ich war Doktorandin und studierte Klinische Psychologie in Berkeley .,I was a Ph.D. student in clinical psychology at Berkeley .,i was a and studied clinical psychology .,7.8
3,8,Sie war eine 26-jährige Frau namens Alex .,She was a 26-year - old woman named Alex .,she was a female woman .,7.1
4,44,"Als Alex in die erste Sitzung kam , trug sie Jeans und ein ausgebeultes Top . Sie fiel auf das Sofa in meinem Büro , schleuderte ihre Sandalen von sich und erzählte mir , sie wäre da , um über Männerprobleme zu reden .","Now Alex walked into her first session wearing jeans and a big slouchy top , and she dropped onto the couch in my office and kicked off her flats and told me she was there to talk about guy problems .","when i came back first , she had her and and a a . she took in the office office , her her , and her told me she was to to talk about about .",11.43
5,10,"Und als ich das hörte , war ich erleichtert .","Now when I heard this , I was so relieved .",and i heard that . i was .,5.0
6,10,Meine Kommilitonin bekam nämlich einen Brandstifter als ersten Patienten .,My classmate got an arsonist for her first client .,my first business was a a .,5.09
7,15,"Und ich bekam eine Frau in den 20ern , die über Jungs reden wollte .",And I got a twentysomething who wanted to talk about boys .,and i got a woman in the who who wanted to talk .,23.9
8,9,"Das kriege ich hin , dachte ich mir .",This I thought I could handle .,i i i .,7.55
9,7,Aber ich habe es nicht hingekriegt .,But I did n't handle it .,but i did .,8.97
10,34,"Mit den lustigen Geschichten , die Alex mit in die Sitzung brachte , war es leicht für mich , einfach mit dem Kopf zu nicken , während wir die Probleme vor uns herschoben .","With the funny stories that Alex would bring to session , it was easy for me just to nod my head while we kicked the can down the road .","with the stories , the alex with the , it was easy easy to me simply with the head , while we the problems problems .",11.4
11,21,""" 30 ist das neue 20 "" , sagte Alex und soweit ich das einschätzen konnte , hatte sie recht .",""" Thirty 's the new 20 , "" Alex would say , and as far as I could tell , she was right .",""" 30 is the new 20 "" , and i i was able to",7.32
12,18,"Arbeit kam später , Heiraten kam später , Kinder kamen später , selbst der Tod kam später .","Work happened later , marriage happened later , kids happened later , even death happened later .","work later , later later later later later later later later death later later later .",7.47
13,13,Leute in den 20ern wie Alex und ich hatten nichts als Zeit .,Twentysomethings like Alex and I had nothing but time .,people in the and i did nothing as a time .,8.91
14,15,"Aber bald drängte mich mein Betreuer , Alex ' Liebesleben in Frage zu stellen .","But before long , my supervisor pushed me to push Alex about her love life .","but soon , my my , , , to my .",5.66
15,4,Ich hielt dagegen .,I pushed back .,i hold .,19.72
16,30,"Ich sagte : "" Ja klar , sie trifft sich mit Männern unter ihrem Niveau , sie schläft mit einem Schwachkopf , aber sie wird ihn nicht heiraten . ""","I said , "" Sure , she 's dating down , she 's sleeping with a knucklehead , but it 's not like she 's going to marry the guy . ""","i said , "" yeah , she 's with men with her her , she with with a , but she wo n't marry him . """,10.97
17,17,"Und da sagte mein Betreuer : "" Noch nicht , aber vielleicht heiratet sie den nächsten .","And then my supervisor said , "" Not yet , but she might marry the next one .","and i said , "" not yet , but better better .",13.36
18,20,"Außerdem ist die beste Zeit an Alex ' Ehe zu arbeiten , die , bevor sie verheiratet ist . ""","Besides , the best time to work on Alex 's marriage is before she has one . ""","also , the best time to say is marriage is that before they married . """,26.59
19,10,"Das ist es , was Psychologen einen Aha-Moment nennen .","That 's what psychologists call an "" Aha ! "" moment .",that 's what psychologists call a .,21.28
20,19,"Das war der Moment , in dem mir bewusst wurde , dass 30 nicht die neuen 20 sind .","That was the moment I realized , 30 is not the new 20 .",that was the moment that i realized that 30 is the new 20 .,29.42
21,22,"Ja , die Leute lassen sich später häuslich nieder als früher , aber das machte Alex ' 20er nicht zum Entwicklungsausfall .","Yes , people settle down later than they used to , but that did n't make Alex 's 20s a developmental downtime .","yes , people were later when they used to than they did n't do .",9.75
22,16,Das machte Alex ' 20er zur optimalen Entwicklungszeit und wir saßen da und verschwendeten sie .,"That made Alex 's 20s a developmental sweet spot , and we were sitting there blowing it .",alex alex up the the and and we sat and and .,4.55
23,41,"Da wurde mir klar , dass diese Art von harmloser Vernachlässigung ein ernsthaftes Problem mit realen Konsequenzen war . Nich nur für Alex und ihr Liebesleben , sondern für die Karrieren , Familien und Aussichten aller Leute in den 20ern .","That was when I realized that this sort of benign neglect was a real problem , and it had real consequences , not just for Alex and her love life but for the careers and the families and the futures of twentysomethings everywhere .","since i realized that this kind of a has a problem with real consequences , just for and and and her , , but for the , , and all the people in the .",9.69
24,16,Zu diesem Zeitpunkt gibt es in den Vereinigten Staaten 50 Millionen Leute in den 20ern .,There are 50 million twentysomethings in the United States right now .,there 's a million states in the united states .,8.17
25,30,"Wir reden über etwa 15 % der Bevölkerung , oder 100 % , wenn man bedenkt , dass keiner das Erwachsenenalter erreicht , ohne durch die 20er zu gehen .","We 're talking about 15 percent of the population , or 100 percent if you consider that no one 's getting through adulthood without going through their 20s first .","we 're talking about about 15 percent of the population , 100 percent if you do n't leave the outcome without being walking .",31.24
26,10,"Meldet euch , wenn ihr in euren 20ern seid .",Raise your hand if you 're in your 20s .,watch you when you 're in .,17.11
27,8,Ich möchte ein paar von euch sehen .,I really want to see some twentysomethings here .,i want to see you .,19.69
28,9,"Oh , yeah ! Ihr seid alle unglaublich .","Oh , yay ! Y'all 's awesome .","oh , yeah ! you 're all .",7.27
29,37,"Wenn ihr mit jemanden in den 20ern arbeitet , einen liebt , wegen einem in den 20ern Schlaf verliert , ich möchte euch sehen ... O.k . Großartig . Leute in den 20ern sind wirklich wichtig .","If you work with twentysomethings , you love a twentysomething , you 're losing sleep over twentysomethings , I want to see — Okay . Awesome , twentysomethings really matter .","if you get in in the crowd , a , , in the , , i 'll want to see you -- . .",6.19
30,66,"Mein Spezialgebiet sind Leute in den 20ern , denn ich glaube , dass jeder einzelne dieser 50 Millionen wissen sollte , was Psychologen Soziologen , Neurologen und Fruchtbarkeitsspezialisten längst wissen : die Einforderung der 20er ist eines der einfachsten und doch umwälzendsten Dinge , die man machen kann für die Arbeit , für die Liebe , für das Glück , vielleicht sogar für die Welt .","So I specialize in twentysomethings because I believe that every single one of those 50 million twentysomethings deserves to know what psychologists , sociologists , neurologists and fertility specialists already know : that claiming your 20s is one of the simplest , yet most transformative , things you can do for work , for love , for your happiness , maybe even for the world .","my my are in the in the , because i think every single one of those 50 million knowledge , psychologists psychologists , and and , and , : the the of of of the and and and the things that you can do for for work for the ,",16.19
31,10,Dies ist nicht meine Meinung . Das sind Fakten .,This is not my opinion . These are the facts .,it 's not my . .,8.39
32,17,"Wir wissen , dass 80 % der prägendsten Momente , in der Zeit bis 35 passieren .",We know that 80 percent of life 's most defining moments take place by age 35 .,we know 80 percent of the percent moments in time to 35 .,11.56
33,35,"Das bedeutet , dass 8 von 10 Entscheidungen , Erfahrungen und Aha-Erlebnissen , die aus eurem Leben , das machen , was es ist , bis ihr Mitte 30 seid , schon passiert sind .","That means that eight out of 10 of the decisions and experiences and "" Aha ! "" moments that make your life what it is will have happened by your mid-30s .","that means that eight of 10 decisions , and and and , that out of your life , what it is , until your 30 are already .",10.97
34,10,"Werdet nicht panisch , wenn ihr über 40 seid .","People who are over 40 , do n't panic .",do n't get any .,8.7
35,10,"Dieser Gruppe wird es gut gehen , glaube ich .","This crowd is going to be fine , I think .","that 's will be well , i .",5.0
36,23,"Wir wissen , dass die ersten 10 Jahre eines Berufes eine exponentielle Auswirkung darauf haben , wie viel Geld man verdienen wird .",We know that the first 10 years of a career has an exponential impact on how much money you 're going to earn .,we know that first 10 years of a a have a tremendous impact to how much money money .,22.86
37,25,"Wir wissen , dass mit 30 mehr als die Hälfte der Amerikaner verheiratet ist oder mit dem zukünftigen Partner zusammenlebt oder eine Beziehung hat .",We know that more than half of Americans are married or are living with or dating their future partner by 30 .,we know that 30 30 half the americans americans americans or or or the or the .,4.66
38,45,"Wir wissen , dass das Gehirn sein zweites und letztes großes Wachsen in den 20ern abschließt und sich für das Erwachsenenalter verdrahtet , was bedeutet , dass was auch immer ihr an euch verändern wollt , jetzt die Zeit wäre , dies zu tun .","We know that the brain caps off its second and last growth spurt in your 20s as it rewires itself for adulthood , which means that whatever it is you want to change about yourself , now is the time to change it .","we know that brain brain is and and large large in the the the , and and the the the , , whatever means you you might want to change you , now time time .",5.77
39,37,"Wir wissen , dass die Persönlichkeit sich während der 20er öfter verändert als irgendwann sonst im Leben und dass die Fruchtbarkeit der Frauen mit 28 ihren Höhepunkt erreicht und dass nach 35 die Dinge kompliziert werden .","We know that personality changes more during your 20s than at any other time in life , and we know that female fertility peaks at age 28 , and things get tricky after age 35 .",we know that the personalities are during the most than than in the life and the the women with their with their their and and that to to be things .,5.37
40,16,In den 20ern sollte man sich also weiterbilden über den Körper und die eigenen Möglichkeiten .,So your 20s are the time to educate yourself about your body and your options .,so in the you should feel about about the bodies and the .,3.47
41,27,"Wenn wir an die Entwicklung eines Kindes denken , wissen wir alle , dass die ersten 5 Jahre für Spracherwerb und Bindung im Gehirn entscheidend sind .","So when we think about child development , we all know that the first five years are a critical period for language and attachment in the brain .","if we think about the developing of a , we all know that the first five years for years and and in the brain .",43.33
42,20,"Es ist die Zeit , in der das gewöhnliche , alltägliche Leben einen übermäßigen Einfluss auf die Zukunft hat .","It 's a time when your ordinary , day - to - day life has an inordinate impact on who you will become .","it 's time time that the , life life a a on the future .",2.35
43,23,"Aber wir hören wenig darüber , dass es da so etwas gibt wie Erwachsenen-Entwicklung und unsere 20er eine ausschlaggebende Zeit dafür sind .","But what we hear less about is that there 's such a thing as adult development , and our 20s are that critical period of adult development .",but we hear hear about there there are such such as and and our our our are are .,4.48
44,11,Aber das bekommen Leute in den 20ern nicht zu hören .,But this is n't what twentysomethings are hearing .,but people get n't hear people in the .,5.67
45,9,Die Presse redet über die Zeitverschiebung des Erwachsenwerdens .,Newspapers talk about the changing timetable of adulthood .,the press spoke about the .,10.9
46,8,Wissenschaftler nennen die 20er eine verlängerte Pubertät .,Researchers call the 20s an extended adolescence .,scientists call the hero .,12.98
47,23,"Journalisten denken sich dumme Spitznamen für Leute in den 20ern aus wie "" Twixters "" oder "" Kidults "" [ Kind-Erwachsene ] .","Journalists coin silly nicknames for twentysomethings like "" twixters "" and "" kidults . ""","journalists for people who are in the the people like "" "" or "" "" """,6.44
48,3,Das stimmt .,It 's true .,that 's true .,59.46
49,17,"Als Kultur haben wir das trivialisiert , was jetzt das entscheidende Jahrzehnt für das Erwachsenwerden ist .","As a culture , we have trivialized what is actually the defining decade of adulthood .","as a culture , we have the the critical decade for the .",25.82
50,18,"Leonard Bernstein meinte , dass große Dinge mit einem Plan und etwas zu wenig Zeit erreicht werden .","Leonard Bernstein said that to achieve great things , you need a plan and not quite enough time .",public public meant that great things with a a and and little bit little bit .,5.34
51,4,Stimmt das nicht ?,Is n't that true ?,right ?,11.16
52,32,"Was passiert also , wenn man jemandem in den 20ern den Kopf tätschelt und sagt : "" Du bekommst 10 Jahre zusätzlich , um etwas aus deinem Leben zu machen "" ?","So what do you think happens when you pat a twentysomething on the head and you say , "" You have 10 extra years to start your life "" ?","so what happens when you put somebody in the the head and head says , "" you 're 10 10 years to make something out of life life ?",10.83
53,3,Gar nichts .,Nothing happens .,nothing .,30.33
54,17,Dieser Mensch ist der Ambition und der Dringlichkeit beraubt worden . und es passiert gar nichts .,"You have robbed that person of his urgency and ambition , and absolutely nothing happens .",this person is the and and the .,2.87
55,56,"Und so kommen jeden Tag intelligente , interessante Leute in den 20ern wie ihr oder wie eure Söhne und Töchter zu mir in mein Büro und sagen so etwas wie : "" Ich weiß , mein Freund tut mir nicht gut , aber diese Beziehung zählt nicht . Ich schlage bloß die Zeit tot . ""","And then every day , smart , interesting twentysomethings like you or like your sons and daughters come into my office and say things like this : "" I know my boyfriend 's no good for me , but this relationship does n't count . I 'm just killing time . ""","and so every day , , people , in the the like like , like your sons and daughters daughters me and me me and say , "" i know , my friend does n't good good , but i do n't think about the time . """,14.33
56,27,"Oder sie sagen : "" Alle sagen , solange ich es mit 30 Jahren geschafft habe , meine Karriere zu starten , ist alles gut . ""","Or they say , "" Everybody says as long as I get started on a career by the time I 'm 30 , I 'll be fine . ""","or they say say , "" i say , as i learned 30 30 years , my career , is good . """,7.59
57,20,"Aber später hört es sich so an : "" Meine 20er sind fast vorbei und ich habe nichts vorzuweisen .","But then it starts to sound like this : "" My 20s are almost over , and I have nothing to show for myself .","but later , it sounds like "" my my are over over and i did nothing .",2.47
